product_id,skin_tone,hydration_mean,hydration_count,breakouts_irritation_mean,breakouts_irritation_count,scent_mean,scent_count,packaging_mean,packaging_count,price_value_mean,price_value_count,texture_application_mean,texture_application_count,hydration_overall,breakouts_irritation_overall,scent_overall,packaging_overall,price_value_overall,texture_application_overall,hydration_delta,breakouts_irritation_delta,scent_delta,packaging_delta,price_value_delta,texture_application_delta,product_name,low_confidence,flagged,breakouts_flagged
P122727,deep,0.5844271779060364,3,,0,0.9857444167137146,1,0.9535902738571167,1,,0,0.9857444167137146,1,0.7134451859233595,0.7037737800976233,0.8263757030169169,0.647824103012681,0.6828130337720116,0.7553343799701261,-0.1290180080173231,,0.15936871369679773,0.3057661708444357,,0.2304100367435885,Repairwear Anti-Gravity Eye Cream,True,True,False
P122727,fair,0.8152527272536912,17,0.7907143156044185,8,0.5103137493133545,1,,0,0.9008772571881613,6,0.4977216355619021,4,0.7134451859233595,0.7037737800976233,0.8263757030169169,0.647824103012681,0.6828130337720116,0.7553343799701261,0.10180754133033176,0.08694053550679526,-0.3160619537035624,,0.21806422341614962,-0.257612744408224,Repairwear Anti-Gravity Eye Cream,True,True,False
P122727,fairLight,0.7111882120370865,2,0.9894708395004272,1,,0,,0,0.004322871565818787,1,,0,0.7134451859233595,0.7037737800976233,0.8263757030169169,0.647824103012681,0.6828130337720116,0.7553343799701261,-0.002256973886272995,0.285697059402804,,,-0.6784901622061928,,Repairwear Anti-Gravity Eye Cream,True,True,True
P122727,light,0.6474255141727507,26,0.6342446502298117,5,0.9830689430236816,1,0.28421276807785034,1,0.5003789353650063,8,0.7406825164798647,16,0.7134451859233595,0.7037737800976233,0.8263757030169169,0.647824103012681,0.6828130337720116,0.7553343799701261,-0.06601967175060874,-0.06952912986781157,0.15669324000676477,-0.36361133493483067,-0.1824340984070053,-0.014651863490261374,Repairwear Anti-Gravity Eye Cream,True,True,False
P122727,lightMedium,0.7795988818964896,13,0.9869487981001537,2,,0,0.667105824376146,3,0.9452926516532898,2,0.8391860342983689,7,0.7134451859233595,0.7037737800976233,0.8263757030169169,0.647824103012681,0.6828130337720116,0.7553343799701261,0.06615369597313014,0.2831750180025304,,0.019281721363464954,0.26247961788127816,0.08385165432824282,Repairwear Anti-Gravity Eye Cream,True,True,True
P122727,medium,0.550606831908226,1,,0,,0,,0,,0,,0,0.7134451859233595,0.7037737800976233,0.8263757030169169,0.647824103012681,0.6828130337720116,0.7553343799701261,-0.16283835401513347,,,,,,Repairwear Anti-Gravity Eye Cream,True,True,False
P122727,mediumTan,0.6154722504317761,6,0.33309098274912685,4,,0,,0,0.9874314069747925,1,0.9045041054487228,3,0.7134451859233595,0.7037737800976233,0.8263757030169169,0.647824103012681,0.6828130337720116,0.7553343799701261,-0.09797293549158337,-0.3706827973484964,,,0.30461837320278085,0.14916972547859675,Repairwear Anti-Gravity Eye Cream,True,True,True
P122727,tan,0.9814743399620056,1,0.9865792393684387,1,,0,,0,,0,,0,0.7134451859233595,0.7037737800976233,0.8263757030169169,0.647824103012681,0.6828130337720116,0.7553343799701261,0.26802915403864613,0.28280545927081546,,,,,Repairwear Anti-Gravity Eye Cream,True,True,True
P122762,deep,0.9902093013127645,3,,0,,0,,0,0.8710508346557617,1,,0,0.718904367652738,0.807475676766417,0.7670103851211907,0.8002991059976112,0.718529867777433,0.7343632312860854,0.2713049336600265,,,,0.15252096687832872,,Rinse-Off Foaming Cleanser,True,True,False
P122762,fair,0.7320415009919469,51,0.8337647823089113,25,0.8484349527529308,7,0.8549937797444207,7,0.7373891223052685,11,0.8967828378081322,8,0.718904367652738,0.807475676766417,0.7670103851211907,0.8002991059976112,0.718529867777433,0.7343632312860854,0.01313713333920885,0.026289105542494307,0.08142456763174011,0.054694673746809475,0.018859254527835545,0.1624196065220468,Rinse-Off Foaming Cleanser,True,True,False
