product_id,skin_type,hydration_mean,hydration_count,breakouts_irritation_mean,breakouts_irritation_count,scent_mean,scent_count,packaging_mean,packaging_count,price_value_mean,price_value_count,texture_application_mean,texture_application_count,hydration_overall,breakouts_irritation_overall,scent_overall,packaging_overall,price_value_overall,texture_application_overall,hydration_delta,breakouts_irritation_delta,scent_delta,packaging_delta,price_value_delta,texture_application_delta,product_name,low_confidence,flagged,breakouts_flagged
P122727,combination,0.6682105642548591,49,0.6798152303866422,12,0.8896450519561767,5,0.6309726536273956,2,0.6635546817133824,15,0.7989885760918976,26,0.7140973693097075,0.7727382942972083,0.9052157004674276,0.3571846061386168,0.6606356392481497,0.7817627252134982,-0.04588680505484832,-0.09292306391056615,-0.015570648511250895,0.27378804748877883,0.0029190424652326685,0.01722585087839934,Repairwear Anti-Gravity Eye Cream,True,True,False
P122727,dry,0.9130433738325899,14,0.9372595697641373,4,0.9830689430236816,1,,0,0.7211503572762012,7,0.9744036674499512,5,0.7140973693097075,0.7727382942972083,0.9052157004674276,0.3571846061386168,0.6606356392481497,0.7817627252134982,0.19894600452288247,0.16452127546692896,0.07785324255625403,,0.06051471802805153,0.192640942236453,Repairwear Anti-Gravity Eye Cream,True,True,True
P122727,normal,0.611007463091459,13,0.7765414801293186,7,,0,,0,0.3426535452405612,3,0.31695769764482973,5,0.7140973693097075,0.7727382942972083,0.9052157004674276,0.3571846061386168,0.6606356392481497,0.7817627252134982,-0.10308990621824843,0.0038031858321102563,,,-0.31798209400758853,-0.4648050275686685,Repairwear Anti-Gravity Eye Cream,True,True,False
P122727,oily,0.7871317479646567,11,0.9879229764143627,2,,0,0.08339655864983797,2,0.8228215121974548,3,0.933920775850614,6,0.7140973693097075,0.7727382942972083,0.9052157004674276,0.3571846061386168,0.6606356392481497,0.7817627252134982,0.07303437865494922,0.21518468211715436,,-0.27378804748877883,0.1621858729493051,0.15215805063711574,Repairwear Anti-Gravity Eye Cream,True,True,True
P122762,combination,0.7467284221154568,155,0.7725644176875001,79,0.6639299840646108,23,0.79226620385752,34,0.6979197534922235,54,0.7037609458724358,29,0.7427812074774341,0.7934614356459853,0.6916952841521169,0.794927187480739,0.7351994256101853,0.6804369813876181,0.003947214638022611,-0.020897017958485198,-0.027765300087506106,-0.002660983623218982,-0.03727967211796179,0.02332396448481766,Rinse-Off Foaming Cleanser,False,False,False
P122762,dry,0.7444823221672171,36,0.9015816731378437,20,0.6152248427271843,5,0.675163718056865,4,0.6817067920717157,11,0.9832992553710938,3,0.7427812074774341,0.7934614356459853,0.6916952841521169,0.794927187480739,0.7351994256101853,0.6804369813876181,0.0017011146897829565,0.1081202374918584,-0.07647044142493264,-0.11976346942387395,-0.05349263353846956,0.30286227398347565,Rinse-Off Foaming Cleanser,True,True,False
P122762,normal,0.7187337835757929,43,0.8185489226324374,17,0.7138248360715806,8,0.8985638483004137,11,0.7911872101213896,11,0.6655806505586952,6,0.7427812074774341,0.7934614356459853,0.6916952841521169,0.794927187480739,0.7351994256101853,0.6804369813876181,-0.024047423901641274,0.025087486986452134,0.022129551919463752,0.10363666081967471,0.05598778451120434,-0.014856330828922903,Rinse-Off Foaming Cleanser,True,False,False
P122762,oily,0.7572204406792298,25,0.7508238170147788,22,0.9730011820793152,3,0.7315409710216854,9,0.9834063798189163,8,0.181822379042084,3,0.7427812074774341,0.7934614356459853,0.6916952841521169,0.794927187480739,0.7351994256101853,0.6804369813876181,0.014439233201795632,-0.04263761863120641,0.2813058979271983,-0.06338621645905362,0.24820695420873107,-0.4986146023455341,Rinse-Off Foaming Cleanser,True,True,False
P122782,combination,0.6999165486486163,68,0.7679778237361461,5,0.8057529340897288,14,0.6959999795071781,12,0.42915390267390413,27,0.868622668242703,25,0.7302161101921486,0.7611933960246721,0.8152171933854168,0.6598283237862316,0.503037231053253,0.8254778051286584,-0.030299561543532305,0.006784427711474028,-0.009464259295687949,0.036171655720946494,-0.07388332837934891,0.04314486311404453,Repairwear Intensive Lip Treatment,True,False,False
P122782,dry,0.7812217142936057,29,0.7442323267459869,2,0.7834999803453684,6,0.657231557648629,8,0.8294462873958625,13,0.799587401522634,12,0.7302161101921486,0.7611933960246721,0.8152171933854168,0.6598283237862316,0.503037231053253,0.8254778051286584,0.05100560410145705,-0.016961069278685126,-0.031717213040048375,-0.002596766137602624,0.3264090563426094,-0.02589040360602446,Repairwear Intensive Lip Treatment,True,True,False
P122782,normal,0.5576836099595918,8,,0,0.9766186475753784,2,0.7924730777740479,1,0.3805377472017426,8,0.8623092859052122,4,0.7302161101921486,0.7611933960246721,0.8152171933854168,0.6598283237862316,0.503037231053253,0.8254778051286584,-0.17253250023255684,,0.16140145418996166,0.13264475398781628,-0.12249948385151044,0.03683148077655374,Repairwear Intensive Lip Treatment,True,True,False
P122782,oily,0.9753995686769485,8,,0,,0,0.11389783024787903,1,0.08021323258678119,3,0.6424252735916525,5,0.7302161101921486,0.7611933960246721,0.8152171933854168,0.6598283237862316,0.503037231053253,0.8254778051286584,0.24518345848479994,,,-0.5459304935383525,-0.42282399846647184,-0.18305253153700596,Repairwear Intensive Lip Treatment,True,True,False
P122900,combination,0.7395039782440376,1505,0.7534258181042922,488,0.7047501193221912,154,0.7524066167167203,204,0.7135340305249218,199,0.8300026355884573,809,0.7381125095558125,0.74171607725984,0.7128518637206878,0.7526021610208515,0.7000646884914221,0.82874895469454,0.0013914686882250393,0.011709740844452199,-0.008101744398496535,-0.00019554430413126767,0.013469342033499698,0.0012536808939173083,Dramatically Different Moisturizing Gel,False,False,False
P122900,dry,0.6396785900276009,107,0.6770323624004959,32,0.7060728627606295,10,0.6469085347572607,14,0.6801325939336998,9,0.687970799771655,45,0.7381125095558125,0.74171607725984,0.7128518637206878,0.7526021610208515,0.7000646884914221,0.82874895469454,-0.09843391952821168,-0.0646837148593441,-0.006779000960058235,-0.1056936262635908,-0.01993209455772227,-0.14077815492288503,Dramatically Different Moisturizing Gel,False,False,False
P122900,normal,0.7574636814471104,158,0.7385310622947087,42,0.6904708805183569,19,0.6768468777105833,16,0.5889283466463288,20,0.8275249704912111,77,0.7381125095558125,0.74171607725984,0.7128518637206878,0.7526021610208515,0.7000646884914221,0.82874895469454,0.01935117189129787,-0.0031850149651313497,-0.02238098320233084,-0.07575528331026826,-0.11113634184509336,-0.0012239842033289206,Dramatically Different Moisturizing Gel,True,False,False
P122900,oily,0.7462283223083237,663,0.7274449226742378,246,0.7423552082598968,59,0.7801949523208249,99,0.6973629081346739,103,0.8438326201875959,359,0.7381125095558125,0.74171607725984,0.7128518637206878,0.7526021610208515,0.7000646884914221,0.82874895469454,0.008115812752511165,-0.014271154585602241,0.029503344539208998,0.027592791299973385,-0.0027017803567481735,0.015083665493055842,Dramatically Different Moisturizing Gel,False,False,False
P12336,combination,0.7866439432482806,299,0.7254646719698092,146,0.6860466209960858,251,0.469855912755627,17,0.5158314111799297,101,0.8637835092561704,42,0.7858465206670063,0.7146068225577918,0.6971279392939705,0.47096603907893636,0.5420829213817489,0.7379164130900187,0.000797422581274243,0.010857849412017395,-0.011081318297884724,-0.0011101263233093683,-0.02625151020181915,0.12586709616615177,Rose Face Mask,False,False,False
P12336,dry,0.772663930286152,161,0.742211508388622,69,0.7049960598064516,107,0.4414426490664482,5,0.5072141213628735,48,0.6782026705728971,22,0.7858465206670063,0.7146068225577918,0.6971279392939705,0.47096603907893636,0.5420829213817489,0.7379164130900187,-0.013182590380854342,0.0276046858308302,0.007868120512481092,-0.02952339001248816,-0.03486880001887538,-0.05971374251712158,Rose Face Mask,True,False,False
P12336,normal,0.8709239381064892,63,0.7508358513470739,25,0.7496034169527279,55,0.47562377620488405,2,0.7348537302509482,35,0.7086108483543451,11,0.7858465206670063,0.7146068225577918,0.6971279392939705,0.47096603907893636,0.5420829213817489,0.7379164130900187,0.08507741743948283,0.036229028789282025,0.052475477658757375,0.004657737125947692,0.1927708088691994,-0.029305564735673584,Rose Face Mask,False,True,False
P12336,oily,0.7297834626158639,62,0.5772413520511085,32,0.6799164979612794,55,0.5024007637402974,5,0.43678407881078246,23,0.4337202054642451,12,0.7858465206670063,0.7146068225577918,0.6971279392939705,0.47096603907893636,0.5420829213817489,0.7379164130900187,-0.05606305805114242,-0.13736547050668335,-0.017211441332691146,0.031434724661361046,-0.10529884257096639,-0.30419620762577354,Rose Face Mask,True,True,False
P126301,combination,0.8210799102780975,372,0.7525968905206677,485,0.6513922820125708,179,0.5531681912168922,101,0.7181683241128006,234,0.6992469441448758,222,0.8408471496689501,0.7533472935159075,0.6192541616412446,0.5743814099613445,0.7195013266289793,0.6631882643832472,-0.019767239390852676,-0.0007504029952397628,0.03213812037132624,-0.021213218744452256,-0.0013330025161786274,0.036058679761628576,Take The Day Off Cleansing Balm Makeup Remover,False,False,False
P126301,dry,0.8519268848766608,183,0.7666216194432051,162,0.589859010040265,74,0.6795646020078233,21,0.7174283378320979,80,0.6042438510142949,71,0.8408471496689501,0.7533472935159075,0.6192541616412446,0.5743814099613445,0.7195013266289793,0.6631882643832472,0.011079735207710661,0.013274325927297603,-0.029395151600979608,0.10518319204647886,-0.0020729887968813365,-0.058944413368952286,Take The Day Off Cleansing Balm Makeup Remover,True,False,False
P126301,normal,0.8663730661063375,78,0.7105502151574693,78,0.5802025781974763,46,0.6267565040705869,26,0.6982486961852475,48,0.6794612348234902,45,0.8408471496689501,0.7533472935159075,0.6192541616412446,0.5743814099613445,0.7195013266289793,0.6631882643832472,0.02552591643738733,-0.042797078358438156,-0.039051583443768245,0.05237509410924246,-0.021252630443731713,0.016272970440243006,Take The Day Off Cleansing Balm Makeup Remover,True,False,False
P126301,oily,0.8898883265552714,68,0.766723817347177,116,0.5532871435085932,27,0.490377622512717,17,0.7472399924407471,54,0.5804199511523951,55,0.8408471496689501,0.7533472935159075,0.6192541616412446,0.5743814099613445,0.7195013266289793,0.6631882643832472,0.04904117688632126,0.013376523831269527,-0.06596701813265138,-0.08400378744862746,0.02773866581176787,-0.0827683132308521,Take The Day Off Cleansing Balm Makeup Remover,True,False,False
P173619,combination,0.8310499560231199,26,0.7247398707882634,14,0.5662222153817614,6,0.20976394414901733,1,0.5417411282380473,54,0.982581893603007,3,0.7760128922841082,0.7258320676324808,0.6914000387134199,0.20976394414901733,0.5812993429287665,0.8590716361068189,0.05503706373901174,-0.0010921968442173524,-0.1251778233316585,0.0,-0.039558214690719185,0.12351025749618805,Benefiance WrinkleResist24 Pure Retinol Express Smoothing Eye Mask,True,False,False
P173619,dry,0.7986735911531881,11,0.7012050201495489,6,0.8763924241065979,2,,0,0.538615154926307,13,,0,0.7760128922841082,0.7258320676324808,0.6914000387134199,0.20976394414901733,0.5812993429287665,0.8590716361068189,0.022660698869079954,-0.024627047482931874,0.18499238539317797,,-0.042684188002459544,,Benefiance WrinkleResist24 Pure Retinol Express Smoothing Eye Mask,True,True,False
P173619,normal,0.7174504692666233,11,0.7801830812046925,3,0.9788720607757568,2,,0,0.7145656877740597,18,0.6458963590363661,3,0.7760128922841082,0.7258320676324808,0.6914000387134199,0.20976394414901733,0.5812993429287665,0.8590716361068189,-0.05856242301748493,0.054351013572211726,0.2874720220623369,,0.1332663448452932,-0.2131752770704528,Benefiance WrinkleResist24 Pure Retinol Express Smoothing Eye Mask,True,True,False
P173619,oily,0.5170017193886451,4,,0,0.49753816379234195,1,,0,0.6787139529672762,3,0.9935691654682159,2,0.7760128922841082,0.7258320676324808,0.6914000387134199,0.20976394414901733,0.5812993429287665,0.8590716361068189,-0.25901117289546305,,-0.19386187492107798,,0.09741461003850971,0.13449752936139703,Benefiance WrinkleResist24 Pure Retinol Express Smoothing Eye Mask,True,True,False
P173622,combination,0.6716233927775951,8,0.8837917168159037,5,0.9629250168800354,2,0.6038432270288467,2,0.6068860843777657,5,0.11448213504627347,2,0.7586844501184355,0.9023270175869887,0.9725094238917033,0.6038432270288467,0.6249052646259466,0.11448213504627347,-0.08706105734084046,-0.018535300771085006,-0.00958440701166785,0.0,-0.018019180248180944,0.0,Benefiance Pure Retinol Intensive Revitalizing Face Mask,True,False,False
P173622,dry,0.9940874576568604,1,,0,,0,,0,0.7150011658668518,1,,0,0.7586844501184355,0.9023270175869887,0.9725094238917033,0.6038432270288467,0.6249052646259466,0.11448213504627347,0.2354030075384248,,,,0.09009590124090516,,Benefiance Pure Retinol Intensive Revitalizing Face Mask,True,True,False
P173622,normal,,0,,0,,0,,0,,0,,0,0.7586844501184355,0.9023270175869887,0.9725094238917033,0.6038432270288467,0.6249052646259466,0.11448213504627347,,,,,,,Benefiance Pure Retinol Intensive Revitalizing Face Mask,True,False,False
P173622,oily,0.9892271757125854,2,0.9950035214424133,1,0.9916782379150391,1,,0,,0,,0,0.7586844501184355,0.9023270175869887,0.9725094238917033,0.6038432270288467,0.6249052646259466,0.11448213504627347,0.2305427255941499,0.09267650385542459,0.019168814023335812,,,,Benefiance Pure Retinol Intensive Revitalizing Face Mask,True,True,False
P201439,combination,0.7953983981548468,41,0.7091295286272772,104,0.5210064181786341,6,0.5653934967038887,7,0.6575148618565156,13,0.28926584689179435,10,0.7217830026227556,0.6739078858390346,0.4797900705764602,0.6521388648050981,0.7113217321038247,0.47260447494121954,0.07361539553209118,0.03522164278824258,0.04121634760217391,-0.08674536810120936,-0.05380687024730901,-0.1833386280494252,Redness Solutions Soothing Cleanser,True,True,False
P201439,dry,0.6921344709341768,29,0.6800591771115455,43,0.23249198496341705,1,0.874163955450058,4,0.8110722489655018,7,0.8925637006759644,5,0.7217830026227556,0.6739078858390346,0.4797900705764602,0.6521388648050981,0.7113217321038247,0.47260447494121954,-0.02964853168857884,0.006151291272510906,-0.24729808561304317,0.2220250906449599,0.09975051686167713,0.4199592257347448,Redness Solutions Soothing Cleanser,True,True,False
P201439,normal,0.5524639198090882,5,0.5831644455591838,16,,0,0.511697471869411,2,0.6143099293112755,2,0.5399098930259546,3,0.7217830026227556,0.6739078858390346,0.4797900705764602,0.6521388648050981,0.7113217321038247,0.47260447494121954,-0.16931908281366748,-0.09074344027985082,,-0.14044139293568714,-0.09701180279254917,0.06730541808473506,Redness Solutions Soothing Cleanser,True,True,False
P201439,oily,0.3938259066781029,4,0.3988344047037471,9,,0,,0,0.7764081656932831,3,0.004278372507542372,1,0.7217830026227556,0.6739078858390346,0.4797900705764602,0.6521388648050981,0.7113217321038247,0.47260447494121954,-0.3279570959446527,-0.2750734811352875,,,0.06508643358945843,-0.46832610243367717,Redness Solutions Soothing Cleanser,True,True,True
P203616,combination,0.7175870299635624,66,0.686412096817627,162,0.601384004294822,111,0.7634756815378313,45,0.6132687191043702,79,0.6671188909285146,53,0.7559518151517195,0.7093321344001673,0.6295242183322434,0.6838603152877737,0.6160469068615899,0.6569598597469105,-0.03836478518815711,-0.022920037582540242,-0.028140214037421396,0.0796153662500576,-0.002778187757219719,0.010159031181604106,Glycol Lactic Radiance Renewal Mask,False,False,False
P203616,dry,0.8223687458431791,33,0.7992309175438065,49,0.5444842969971853,26,0.5183195732533932,5,0.7325439862906933,15,0.6434747547633984,16,0.7559518151517195,0.7093321344001673,0.6295242183322434,0.6838603152877737,0.6160469068615899,0.6569598597469105,0.0664169306914596,0.0898987831436392,-0.08503992133505811,-0.16554074203438052,0.11649707942910337,-0.013485104983512075,Glycol Lactic Radiance Renewal Mask,True,True,False
P203616,normal,0.8355750908905809,11,0.6609007897575132,22,0.7463299840944532,27,0.29062797455117106,4,0.651528845402936,16,0.9415728896856308,4,0.7559518151517195,0.7093321344001673,0.6295242183322434,0.6838603152877737,0.6160469068615899,0.6569598597469105,0.07962327573886141,-0.048431344642654084,0.1168057657622098,-0.3932323407366026,0.03548193854134607,0.2846130299387203,Glycol Lactic Radiance Renewal Mask,True,True,False
P203616,oily,0.7023979227989912,10,0.7172788428357334,47,0.6884660031237463,37,0.605056421412155,15,0.48506625840673223,16,0.5595519202373301,15,0.7559518151517195,0.7093321344001673,0.6295242183322434,0.6838603152877737,0.6160469068615899,0.6569598597469105,-0.05355389235272834,0.007946708435566108,0.058941784791502916,-0.0788038938756187,-0.13098064845485768,-0.09740793950958038,Glycol Lactic Radiance Renewal Mask,True,False,False
